date,co_level
2000-03-01,1.7813738e+18
2001-03-01,1.6944453e+18
2002-05-01,1.7586492e+18
2003-05-01,1.8918333e+18
2004-05-01,1.7560787e+18
2005-05-01,1.780854e+18
2006-05-01,1.7571732e+18
2007-05-01,1.8012917e+18
2008-05-01,1.7672437e+18
2009-05-01,1.6925673e+18
2010-07-01,1.5468868e+18
2011-07-01,1.5514557e+18
2012-07-01,1.6468998e+18
2013-07-01,1.5780514e+18
2014-07-01,1.5454322e+18
2015-07-01,1.5951865e+18
2016-07-01,1.5458243e+18
2017-07-01,1.498616e+18
2018-07-01,1.4927488e+18
2019-07-01,1.5536976e+18
2020-07-01,1.5385004e+18
2021-05-01,1.6402642e+18
2021-11-01,1.482521e+18
2022-06-01,1.5100928e+18
2022-12-01,1.3774355e+18
2023-06-01,1.6371892e+18
2023-12-01,1.4740178e+18
2024-06-01,1.6117043e+18
